1: Homo_sapiens
439: Anaerovorax_odorimutans
440: Anaplasma_centrale
441: Anaplasma_marginale
442: Anaplasma_phagocytophilum
443: Ancylobacter_rudongensis
444: Anditalea_andensis
445: Andreesenia_angusta
446: Andreprevotia_chitinilytica
447: Andreprevotia_lacus
448: Aneurinibacillus_migulanus
449: Aneurinibacillus_terranovensis
450: Aneurinibacillus_thermoaerophilus
451: Aneurinibacillus_tyrosinisolvens
452: Angelakisella_massiliensis
453: Anoxybacillus_amylolyticus
454: Anoxybacillus_gonensis
455: Anoxybacillus_tepidamans
456: Antarctobacter_heliothermus
457: Aphanizomenon_flos-aquae
458: Apibacter_mensalis
459: Aquabacterium_parvum
460: Aquamicrobium_aerolatum
461: Aquamicrobium_defluvii
462: Aquaspirillum_serpens
463: Aquifex_aeolicus
464: Aquiflexum_balticum
465: Aquimarina_agarilytica
466: Aquimarina_amphilecti
467: Aquimarina_latercula
468: Aquimarina_longa
469: Aquimarina_macrocephali
470: Aquimarina_muelleri
471: Aquimarina_pacifica
472: Aquimarina_spongiae
473: Aquimixticola_soesokkakensis
474: Aquimonas_voraii
475: Aquincola_tertiaricarbonis
476: Aquisalimonas_asiatica
477: Aquitalea_pelogenes
478: Arabia_massiliensis
479: Arachidicoccus_rhizosphaerae
480: Arcanobacterium_haemolyticum
481: Arcanobacterium_phocae
482: Arcanobacterium_urinimassiliense
483: Archangium_gephyra
484: Arcobacter_anaerophilus
485: Arcobacter_butzleri
486: Arcobacter_cibarius
487: Arcobacter_cryaerophilus
488: Arcobacter_faecis
489: Arcobacter_lanthieri
490: Arcobacter_lekithochrous
491: Arcobacter_marinus
492: Arcobacter_nitrofigilis
493: Arcobacter_skirrowii
494: Arcobacter_thereius
495: Arcticibacter_svalbardensis
496: Ardenticatena_maritima
497: Arenibacter_algicola
498: Arenibacter_certesii
499: Arenibacter_latericius
500: Arenibacter_nanhaiticus
501: Arenimonas_composti
502: Arenimonas_donghaensis
503: Arenimonas_malthae
504: Arenimonas_metalli
505: Arenimonas_oryziterrae
506: Arenitalea_lutea
507: Arhodomonas_aquaeolei
508: Aromatoleum_aromaticum
509: Arsenicibacter_rosenii
510: Arsenicicoccus_bolidensis
511: Arsenophonus_endosymbiont
512: Arsenophonus_symbiont
513: Arthrobacter_agilis
514: Arthrobacter_alpinus
515: Arthrobacter_castelli
516: Arthrobacter_crystallopoietes
517: Arthrobacter_cupressi
518: Arthrobacter_enclensis
519: Arthrobacter_globiformis
520: Arthrobacter_luteolus
521: Arthrobacter_nitrophenolicus
522: Arthrobacter_rhombi
523: Arthrobacter_subterraneus
524: Arthrobacter_woluwensis
525: Arthrospira_platensis
526: Asaccharospora_irregularis
527: Asaia_astilbis
528: Asaia_bogorensis
529: Asanoa_ishikariensis
530: Aster_yellows
531: Asticcacaulis_benevestitus
532: Asticcacaulis_biprosthecum
533: Asticcacaulis_excentricus
534: Asticcacaulis_taihuensis
535: Atlantibacter_hermannii
536: Atopobacter_phocae
537: Atopobium_deltae
538: Atopobium_fossor
539: Atopobium_minutum
540: Atopobium_parvulum
541: Atopobium_rimae
542: Atopobium_vaginae
543: Atopococcus_tabaci
544: Atopostipes_suicloacalis
545: Aurantimonas_manganoxydans
546: Auraticoccus_monumenti
547: Aureimonas_altamirensis
548: Aureimonas_frigidaquae
549: Aureimonas_jatrophae
550: Aureimonas_phyllosphaerae
551: Aureimonas_ureilytica
552: Auricoccus_indicus
553: Austwickia_chelonae
554: Avibacterium_paragallinarum
555: Azoarcus_olearius
556: Azoarcus_toluclasticus
557: Azohydromonas_australica
558: Azohydromonas_lata
559: Azonexus_hydrophilus
560: Azorhizobium_caulinodans
561: Azorhizobium_doebereinerae
562: Azospirillum_brasilense
563: Azospirillum_halopraeferens
564: Azospirillum_humicireducens
565: Azospirillum_lipoferum
566: Azospirillum_thiophilum
567: Azotobacter_chroococcum
568: Azotobacter_vinelandii
569: Azovibrio_restrictus
570: Bacillus_abyssalis
571: Bacillus_acidiceler
572: Bacillus_acidicola
573: Bacillus_acidiproducens
574: Bacillus_aidingensis
575: Bacillus_akibai
576: Bacillus_alcalophilus
577: Bacillus_alkalinitrilicus
578: Bacillus_alkalitelluris
579: Bacillus_amyloliquefaciens
580: Bacillus_andreraoultii
581: Bacillus_anthracis
582: Bacillus_aquimaris
583: Bacillus_atrophaeus
584: Bacillus_aurantiacus
585: Bacillus_azotoformans
586: Bacillus_badius
587: Bacillus_bataviensis
588: Bacillus_beveridgei
589: Bacillus_bogoriensis
590: Bacillus_boroniphilus
591: Bacillus_campisalis
592: Bacillus_caseinilyticus
593: Bacillus_cecembensis
594: Bacillus_cellulosilyticus
595: Bacillus_cereus
596: Bacillus_chagannorensis
597: Bacillus_cihuensis
598: Bacillus_circulans
599: Bacillus_clarkii
600: Bacillus_clausii
601: Bacillus_coagulans
602: Bacillus_coahuilensis
603: Bacillus_cohnii
604: Bacillus_cytotoxicus
605: Bacillus_dakarensis
606: Bacillus_daliensis
607: Bacillus_dielmoensis
608: Bacillus_drentensis
609: Bacillus_eiseniae
610: Bacillus_enclensis
611: Bacillus_farraginis
612: Bacillus_fastidiosus
613: Bacillus_filamentosus
614: Bacillus_flexus
615: Bacillus_fordii
616: Bacillus_fumarioli
617: Bacillus_ginsengihumi
618: Bacillus_glycinifermentans
619: Bacillus_gobiensis
620: Bacillus_gottheilii
621: Bacillus_halmapalus
622: Bacillus_halosaccharovorans
623: Bacillus_hemicellulosilyticus
624: Bacillus_horikoshii
625: Bacillus_horneckiae
626: Bacillus_humi
627: Bacillus_indicus
628: Bacillus_infantis
629: Bacillus_jeddahensis
630: Bacillus_koreensis
631: Bacillus_korlensis
632: Bacillus_kribbensis
633: Bacillus_krulwichiae
634: Bacillus_lentus
